,Trees,Lush Bushes,Dry Grass,Dry Bushes,Ground Clutter,Flowers,Logs,Rocks,Landscape,Sky
Trees,6511180,81255,4657,182,505,34502,84,387,4575,47848
Lush Bushes,102513,8961502,291486,3155,72514,253204,5971,44465,139609,12586
Dry Grass,32722,1392476,26174741,752860,866334,426392,25695,416349,1648335,42160
Dry Bushes,232,3474,131172,1589803,13539,0,0,29562,33173,5162
Ground Clutter,4987,130595,535235,61755,5165980,72035,7705,112168,868374,7397
Flowers,30198,107074,28171,0,17928,3697306,2532,16669,96950,5112
Logs,381,4108,3025,0,1019,3755,89905,1587,5505,0
Rocks,3499,51003,130181,32334,37832,48030,1545,1574240,116399,222
Landscape,42738,766059,4430821,525756,4675010,583402,39180,444519,27286409,266013
Sky,561171,79118,54720,59169,1156,51115,279,1656,6932,61228475
