,Trees,Lush Bushes,Dry Grass,Dry Bushes,Ground Clutter,Flowers,Logs,Rocks,Landscape,Sky
Trees,875136,300355,62208,5125,1374,2760,0,556,14038,137655
Lush Bushes,2164,759,2076,697,0,13,0,5,207,1799
Dry Grass,95543,389629,64277630,2998601,6202528,121713,105,589428,15472672,225963
Dry Bushes,14129,170074,2133380,12387193,341699,5052,9,50977,696862,33082
Ground Clutter,0,0,0,0,0,0,0,0,0,0
Flowers,0,0,0,0,0,0,0,0,0,0
Logs,0,0,0,0,0,0,0,0,0,0
Rocks,12341,62481,16007539,2394999,53235794,9657,2416,4680102,17788628,10142
Landscape,93517,247504,25384740,4534508,20414057,74505,108,658409,172278646,626612
Sky,238794,18043,153899,45407,16,1160,0,1495,1334,92846751
